Year,Winners,Score,Runners_up,Score,Host(s),Winning Captain
2007,India,157/5 (20 overs),Pakistan,152 all out (19.4 overs),South Africa,MS Dhoni
2009,Pakistan,139/2 (18.4 overs),Sri Lanka,138/6 (20 overs),England,Younis Khan
2010,England,148/3 (17 overs),Australia,147/6 (20 overs),West Indies,Paul Collingwood
2012,West Indies,137/6 (20 overs),Sri Lanka,101 all out (18.4 overs),Sri Lanka,Daren Sammy
2014,Sri Lanka,134/4 (17.5 overs),India,130/4 (20 overs),Bangladesh,Lasith Malinga
2016,West Indies,161/6 (19.4 overs),England,155/9 (20 overs),India,Daren Sammy
2021,Australia,173/2 (18.5 overs),New Zealand,172/4 (20 overs),UAE and Oman,Aaron Finch
2022,England,138/5 (19 overs),Pakistan,137/8 (20 overs),Australia,Jos Buttler
