Id,Name,M,Inn,NO,Runs,HS,Avg,BF,SR,100,200,50,4s,6s
1,Virat Kohli,281,269,41,13083,183,57.38,13950,93.78,47,0,66,1226,143
2,Kane Williamson,161,153,16,6555,148,47.85,8094,80.99,13,0,42,595,51
3,Steven Smith,145,129,15,5054,164,44.33,5765,87.67,12,0,30,446,49
4,Joe Root,162,151,23,6246,133,48.8,7204,86.7,16,0,36,499,47
5,Babar Azam,108,105,12,5409,158,58.16,6069,89.13,19,0,28,488,56
6,Rohit Sharma,251,243,36,10112,264,48.85,11170,90.53,30,3,52,927,292
7,David Warner,150,148,5,6397,179,44.73,6633,96.44,20,0,31,683,106
8,Quinton de Kock,145,145,7,6176,178,44.75,6450,95.75,17,0,30,714,97
9,Sachin Tendulkar,463,452,41,18426,200,44.83,21367,86.24,49,1,96,2016,195
